Partlist

Exported from Aeternum_V1_2.sch at 07.03.2019 10:08

EAGLE Version 9.1.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device           Package                   Library                            Sheet

C1       10µ                CPOL-EUE2-5      E2-5                      rcl                                1
C2       100n               C-EU025-024X044  C025-024X044              rcl                                1
C3       27p                C-EU025-024X044  C025-024X044              rcl                                1
C4       27p                C-EU025-024X044  C025-024X044              rcl                                1
C5       100n               C-EU025-024X044  C025-024X044              rcl                                1
C6       100n               C-EU025-024X044  C025-024X044              rcl                                1
C7       4,7µ               CPOL-EUE2-5      E2-5                      rcl                                1
C8       100n               C-EU025-024X044  C025-024X044              rcl                                1
C9       100n               C-EU025-024X044  C025-024X044              rcl                                1
C10      100n               C-EU025-024X044  C025-024X044              rcl                                1
C11      100n               C-EU025-024X044  C025-024X044              rcl                                1
C12      6-20 pF            C-TRIMMTZ03      CTRIMTZ03                 rcl                                2
C13      100n               C-EU025-024X044  C025-024X044              rcl                                2
C14      100n               C-EU025-024X044  C025-024X044              rcl                                2
C15      100n               C-EU025-024X044  C025-024X044              rcl                                2
C16      100n               C-EU025-024X044  C025-024X044              rcl                                2
C17      18pF               CAP0603-CAP      0603-CAP                  SparkFun                           2
C18      18pF               CAP0603-CAP      0603-CAP                  SparkFun                           2
C19      100n               C-EU025-024X044  C025-024X044              rcl                                2
C20      100n               C-EU025-024X044  C025-024X044              rcl                                2
C21      100n               C-EU025-024X044  C025-024X044              rcl                                3
C22      10n                C-EU025-024X044  C025-024X044              rcl                                4
C23      100n               C-EU025-024X044  C025-024X044              rcl                                4
C24      10µ                CPOL-EUE2-5      E2-5                      rcl                                4
C25      100n               C-EU025-024X044  C025-024X044              rcl                                4
C26      100n               C-EU025-024X044  C025-024X044              rcl                                4
C27      10µ                CPOL-EUE2-5      E2-5                      rcl                                4
C28      10µ                CPOL-EUE2-5      E2-5                      rcl                                4
C29      100n               C-EU025-024X044  C025-024X044              rcl                                4
C30      10µ                CPOL-EUE2.5-5    E2,5-5                    rcl                                5
C31      10µ                CPOL-EUE2.5-5    E2,5-5                    rcl                                5
C32      33n                C-EU025-024X044  C025-024X044              rcl                                5
C33      10n                C-EU025-024X044  C025-024X044              rcl                                5
C34      33n                C-EU025-024X044  C025-024X044              rcl                                5
C35      100n               C-EU025-024X044  C025-024X044              rcl                                5
C36      10µ                CPOL-EUE2,5-6E   E2,5-6E                   rcl                                5
D1       BAT43              DS_E2L           E2LINE                    zetex                              2
D2       BAT43              DS_E2L           E2LINE                    zetex                              2
G1       CR2032VKZH         CR2032VKZH       KZH20PCB-V                battery                            2
IC1      ATMEGA 328-PU      MEGA48/88/168-PU DIL28-3                   avr-7                              1
IC2      74HC00N            74HC00N          DIL14                     74xx-eu                            1
IC3      74HC574N           74HC574N         DIL20                     74xx-eu                            1
IC4      74HC574N           74HC574N         DIL20                     74xx-eu                            1
IC5      AS6C4008           HM628512A_DIL32  DIL32                     hitachi_sram_hm628512a-series_rev1 1
IC6      PCF8583P           PCF8583P         DIL08                     i2c_new                            2
IC7      MAX3222            MAX3222          DIL18                     maxim                              2
IC8      SC16IS740          RICKK2_SC16IS740 RICKK2_SC16IS740          SC16IS740v4                        2
IC9      PCF8574P           PCF8574P         DIL16                     i2c_new                            2
IC10     PCA9517            PCA9517          SO-08                     PCA9517                            3
IC11     FT232RL            FT232RL          SSOP28                    ftdichip                           4
IC12     LP2950CDT-3.3      LP2950CDT-3.3    DPACK                     v-reg                              4
IC13     P8X32A-D40         P8X32A-D40       DIL40                     p8x32a_11                          5
IC14     24LC256P           24LC256P         DIL8                      microchip                          5
J1       Würth 693063010911 693063010911     693063010911              InputOutputIO (rev18a)             1
JP1      RI-Power           PINHD-1X2        1X02                      pinhead                            2
LED1     Grün               LEDCHIPLED_0603  CHIPLED_0603              led                                1
LED2     Gelb               LEDCHIPLED_0603  CHIPLED_0603              led                                1
LED3     Rot                LEDCHIPLED_0603  CHIPLED_0603              led                                4
LED4     Grün               LEDCHIPLED_0603  CHIPLED_0603              led                                4
